0,B09FNJZD68,"[31, 31]",5,"The new paper white signature reader is a slight improvement over the last model. A little bigger, faster, can set up the collections easier. The page turner is nonexistent but a quick poke at the bottom will show the next page like a computer. I would rather see the page turn like reading a book but that is my opinion. The new dock is nice, it can hold the reader upright for easy reading and if it's plugged in it has a coil charger in the back for quick charging. I bought the cloth cover for the reader. It was cheaper than the leather and when Fintie comes out with their version I'll replace it. I like a back cover that folds so the reader is easier to hold when reading.","11 19, 2021",R1SMJ0U6JWC9G3,Jonnysy,Good kit. Good e-reader.,1637251200
1,B09FNJZD68,"[21, 21]",5,"This is the fourth Kindle I've had over the course of several years. This one is very lightweight and waterproof and I like being able to adjust the lighting to reduce eye strain. I purchased the ad-free, high storage version and I love not having to deal with the interruptions. I also purchased the charging dock which I like. I think the only negative I have experienced is figuring out how to maneuver around between reading, library, kindle store, etc., - it is not very clearly explained in the instructions.","12 22, 2021",RKAUJBMTNILTU,Kate,Love Kindle,1640102400
2,B09FNJZD68,"[7, 7]",5,"The sophistication and product maturity of the 11th generation Kindle Paperwhite is very apparent. As a dedicated electronic reader/MP3 audiobook player I think this is the best of its kind out there. PaperWhite screen is even more readable than paper... and it feels like a book (maybe except for a poor choice of location of the on/off switch on the bottom edge where it gets hit whenever you bump the bottom of the device) but with all the advantages (enough internal storage) of being able to hold/download several books at a time which makes it a perfect traveling companion. The relatively new IPX8 waterproof rating provides peace of mind when reading on the beach or poolside (and even in the bathtub?). A month of battery life (depending on your usage) is great -easily enough for almost all my personal/business trips. The software is also great and expands the entertainment with perfect features such as access to a dictionary, X-Ray for related background info, see other references/mentions in the current title, Wikipedia (with wiFi), and so on. Finally, the Kindle library is almost endless availability of titles, and the local library's digital collection and support is outstanding (much faster availability than waiting for the paperback edition to come out. Note: this is not a tablet hence not a good web browser and small size screen but as a replacement e-reader for popular books and literature it hits the bullseye.","03 05, 2022",R205TSXRQVL05B,Wayne W.,KIndle PaperWhite (11th Gen) is the best electronic reader out there today,1646409600
3,B09FNJZD68,"[10, 10]",1,In order for Calibre to recognize this Kindle you must use the latest version and the latest version of Calibre requires Windows 11. I DO NOT WANT TO GET A NEW OPERATING SYSTEM.I'm sure this Kindle is nice but with Calibre I can not use it.,"01 29, 2022",R1RM9ZWV8JXOOQ,Enamelation !,Does not work with Calibre,1643385600
4,B09FNJZD68,"[11, 11]",5,So far it's great. Easy to use. I like that I can adjust the lighting. Since I got it I charged it once but it was at 50 percent. I just wanted to try the standing charger. It's light. Very sleek and small. It fits in my purse I love that. I will update later.,"12 23, 2021",R2RNHNA9RADA2R,grod,Happy I can borrow books from the public linrary,1640188800
5,B09FNJZD68,"[5, 5]",5,I went back and forth between the Oasis and the Paperwhite Signature. I'm so glad I chose the Signature Edition with the Essentials Bundle. I am satisfied with the ease of turning the pages and the touch screen is awesome! I love it! It's easy to hold and the light weight makes it easy to read for hours!,"02 27, 2022",R2EWR69C8ZRTBX,Larry S. Doyle,Love my Kindle Paperwhite,1645891200
6,B09FNJZD68,"[0, 0]",5,My past Kindle was a Kindle Fire so it took me a little while to learn how to find a nighttime background light that was easy on my eyes. I like to read in the dark before I go to sleep and some nights it is hard to read! Could be my old eyes! A little disappointed in that I had to charge it in 10 days. This was with it connected to the WhisperSync the entire time. I am now trying it in airplane mode to see how long it lasts on one charge.,"04 07, 2022",R2VYKFSAXC87K1,charlie,"Light, easy to hold with one hand.",1649260800
7,B09FNJZD68,"[0, 0]",5,"This is a most convenient size. The kindle I was replacing was 1st generation. Bigger, thicker and heavier. This is smaller, slimmer and very light. I havena??t tried all the features yet but the thing I like the best is the ease in charging. When you need to recharge you just set it on ita??s stand. The stand is powered via USB cable. Hope thata??s what you call it! e??бзбз?бзo anyway you simply set the kindle on the stand. Thata??s it!","03 27, 2022",R1TFOOFA828G55,Diane H.,Nice compact size,1648310400
8,B09FNJZD68,"[3, 3]",5,"I was a little leary when it came to a bigger size than my last one, but after a day of use i no longer even noticed.","01 21, 2022",R1T6H5VIWFQCHA,Jeremy B.,I use this every day and absolutely love it,1642694400
9,B09FNJZD68,"[0, 0]",2,"Kindle paper white is great. The essentials kit is a waste of money. Specifically the wireless charger is a pointless single-purpose device. I have other Anker Qi chargers and they at least have micro USB or USB-C chargers. But it looks like Amazon required a proprietary power supply for this charger, further limiting its use cases. Save money and just buy the kindle without this charger.","05 14, 2022",R17FDAQSZFFNEJ,Michael W,Dona??t buy essentials kit,1652457600
